id,title,body_len,T3_rank,T3_S_scale,T3_S_score
20573934,সম্পদ বিবরণী জমা দেয়ার বাধ্যবাধকতা বাতিল হলে দুর্নীতি উৎসাহিত হবে,469,57.0,0.1982261640798226,19.82261640798226
20573814,"

আন্তর্জাতিক প্রতিক্রিয়া এড়াতে নীরবে রাফাহ ধ্বংস করছে ইসরাইল
",467,58.0,0.1973392461197339,19.733924611973393
20600833,"

মিয়ানমারে সঙ্ঘাত : রমজানেও শান্তিতে ঘুমাতে পারছে না সীমান্তবাসী
",464,59.0,0.1960088691796009,19.60088691796009
20573866,"

অবন্তিকার মৃত্যু প্রশাসনকে লাল কার্ড শিক্ষার্থীদের
",462,60.0,0.1951219512195122,19.51219512195122
20573788,"

নির্বাচন ছাড়া বিএনপিকে কেউ ক্ষমতায় বসাবে না : ওবায়দুল কাদের
",459,61.0,0.19379157427937915,19.379157427937916
20573930,হলমার্কের তানভীর ও তার স্ত্রীর যাবজ্জীবন,457,62.0,0.19290465631929046,19.290465631929045
20573942,রাঙ্গাবালীতে ভিজিএফ’র চাল বিতরণে অনিয়ম,455,63.0,0.19201773835920177,19.20177383592018
20576271,"বিশ্বের সবচেয়ে সুখি দেশ ফিনল্যান্ড, বাংলাদেশ ১২৯, যুক্তরাষ্ট্র ও জার্মানি নেই শীর্ষ কুড়িতে",454,64.0,0.19157427937915744,19.157427937915745
20573793,"
ডাকাত সন্দেহে পিটিয়ে মানুষ হত্যা 
দুর্বিষহ মানুষ আইন হাতে তুলে নিচ্ছে
",454,64.0,0.19157427937915744,19.157427937915745
20576262,"

কাশ্মীরে জাফরান বাঁচানোর উদ্যোগ
",451,66.0,0.1902439024390244,19.024390243902438
20573933,তদন্তকারী কর্মকর্তাকে তৃতীয় দফা আসামিপক্ষের আইনজীবীর জেরা,448,67.0,0.18891352549889134,18.891352549889135
20587796,"

গাজা যুদ্ধের প্রভাবে ইন্দোনেশিয়া-মালয়েশিয়ায় ম্যাকডোনাল্ডস-স্টারবাকসের ধস
",446,68.0,0.18802660753880265,18.802660753880264
20573867,"

 গাজীপুরে ঝুটব্যবসা নিয়ন্ত্রণে নিতে কাউন্সিলরের নেতৃত্বে কিশোর গ্যাংয়ের মহড়া : আতঙ্ক কাটছে না এলাকাবাসীর
",444,69.0,0.18713968957871396,18.713968957871398
20597760,"

 সড়ক দুর্ঘটনায় এক মাসে নিহত ৫৫৫ 
",442,70.0,0.18625277161862527,18.625277161862527
20573959,টিটুকে সরিয়ে সাবিনাদের দায়িত্বে বাটলার!,442,70.0,0.18625277161862527,18.625277161862527
20574003,উপকূলের মানুষের দুঃখ-কষ্টের কথা শুনলেন সুইডেনের রাজকন্যা,440,72.0,0.18536585365853658,18.536585365853657
20573878,"
	পিরোজপুর-১  
নির্বাচন-পরবর্তী সহিংসতায় আতঙ্কিত নৌকার কর্মীরা  
",437,73.0,0.18403547671840353,18.403547671840354
20573990,চিংড়ি রপ্তানি কমছে বিশ্ববাজারে,435,74.0,0.18314855875831484,18.314855875831483
